"Nom_bibliotheque","Nom_responsable","Population_residente","Population_contractuelle","Nb_abonnes_actifs","Nb_menages_servis","Nb_points_service","Nb_succursales","Heures_ouverture","Nb_imprimantes_3D","Nb_espaces_creation","Nb_locations_salles","Nb_bibliotheques_ephemeres","Superficie","Nb_postes_publics","Nb_postes_OPAC","Nb_postes_internet","Nb_appareils_pretes","Nb_liseuses","Population_desservie","Ratio_abonnes_population","Imprimantes_3D_1000","Espaces_creation_1000","Postes_internet_1000","Appareils_pretes_1000","Liseuses_1000","Z_Imprimantes_3D","Z_Espaces_creation","Z_Postes_internet","Z_Appareils_pretes","Z_Liseuses","Nb_composantes_indice","Indice_ressources_technologiques"
"Addington Highlands Twp","Bonnie Leoen",1712,0,925,2762,2,2,30,0,0,0,0,3534,12,12,12,4,2,1712,0.540303738317757,0,0,7.00934579439252,2.33644859813084,1.16822429906542,-0.236785156647013,-0.119350542858156,0.266363464979724,0.0553400653760326,0.0791718208275201,5,0.00894793033562155
"Admaston/Bromley Twp","Jane Wouda",2935,0,342,1408,1,1,12,0,0,0,0,1394,4,4,4,8,1,2935,0.116524701873935,0,0,1.36286201022147,2.72572402044293,0.340715502555366,-0.236785156647013,-0.119350542858156,-0.237401079360803,0.125608951885762,-0.145768964633741,5,-0.12273935832279
"Ajax","Sarah Vaisler",127400,0,23302,38400,3,3,151.5,2,0,0,0,48000,62,11,51,0,0,127400,0.182904238618524,0.0156985871271586,0,0.400313971742543,0,0,-0.156167852569004,-0.119350542858156,-0.323277102837489,-0.366416952836759,-0.23838527649273,5,-0.240719545518828
"Alderville FN","Shannon Catherwood",313,0,190,NA,1,1,20,0,0,0,0,500,3,0,3,3,2,313,0.60702875399361,0,0,9.58466453674121,9.58466453674121,6.38977635782748,-0.236785156647013,-0.119350542858156,0.496126680878407,1.36373004839399,1.49854044431324,5,0.600452294816093
"Alfred & Plantagenet Twp","Dominique Lacelle",9680,0,1743,4218,5,5,85,0,0,0,0,5595,11,0,11,0,0,9680,0.180061983471074,0,0,1.13636363636364,0,0,-0.236785156647013,-0.119350542858156,-0.257608673053044,-0.366416952836759,-0.23838527649273,5,-0.243709320377541
"Algonquins of Pikwakanagan FN","Estelle Amikons",453,0,65,NA,1,1,20,0,0,0,0,118,6,0,6,1,0,453,0.143487858719647,0,0,13.2450331125828,2.2075055187638,0,-0.236785156647013,-0.119350542858156,0.82269521064138,0.0320642917439801,-0.23838527649273,5,0.0520477052774922
"Alnwick/Haldimand Twp","Elaine Skinner",5691,0,924,3434,3,3,43,0,0,0,0,16712,7,4,4,3,0,5691,0.162361623616236,0,0,0.702864171498858,0.527148128624143,0,-0.236785156647013,-0.119350542858156,-0.296284363754869,-0.271260387841991,-0.23838527649273,5,-0.232413145518952
"Armstrong Twp","Corinna Dallaire",1166,795,159,841,1,1,27,0,1,0,0,2322,6,1,6,3,2,1961,0.0810810810810811,0,0.509943906170321,3.05966343702193,1.52983171851096,1.01988781234064,-0.236785156647013,0.0673976173153474,-0.0860168851823404,-0.0902639638590822,0.0388496804742604,5,-0.0613637415797656
"Arnprior","Karen DeLuca",8795,7178,4968,7466,1,1,40,0,0,34,4,13500,11,3,4,4,0,15973,0.311024854441871,0,0,0.250422588117448,0.250422588117448,0,-0.236785156647013,-0.119350542858156,-0.336650020826583,-0.32121266966013,-0.23838527649273,5,-0.250476733296922
"Asphodel-Norwood","Tish Reed",3440,0,636,1857,2,2,27,1,1,17,0,3822,3,3,3,2,0,3440,0.184883720930233,0.290697674418605,0.290697674418605,0.872093023255814,0.581395348837209,0,1.25604108456496,-0.0128932341080861,-0.281186207335187,-0.261468113421018,-0.23838527649273,5,0.0924216506415888
"Assiginack Twp","Debbie Robinson",1013,0,655,420,1,1,19,0,1,0,0,1200,1,0,1,0,0,1013,0.646594274432379,0,0.987166831194472,0.987166831194472,0,0,-0.236785156647013,0.242162924170709,-0.270919622565342,-0.366416952836759,-0.23838527649273,5,-0.174068816874227
"Athens Twp","Diane Benschop",3013,0,290,1336,1,1,12,0,1,0,0,3458,5,5,5,0,1,3013,0.0962495851310986,0,0.331895121141719,1.6594756057086,0,0.331895121141719,-0.236785156647013,0.00219381230289292,-0.210937988614901,-0.366416952836759,-0.148166598993183,5,-0.192022576957793
"Atikameksheng Anishnawbek Band No. 6 FN","Mary Fraser",390,0,500,NA,1,1,35,0,0,0,0,NA,1,0,0,0,0,390,1.28205128205128,0,0,0,0,0,-0.236785156647013,-0.119350542858156,-0.358992070466256,-0.366416952836759,-0.23838527649273,5,-0.263985999860183
"Atikokan","Tracey Sinclair",2200,0,1865,1373,3,1,37,0,0,2,0,5151,7,7,7,0,0,2200,0.847727272727273,0,0,3.18181818181818,0,0,-0.236785156647013,-0.119350542858156,-0.0751185577092628,-0.366416952836759,-0.23838527649273,5,-0.207211297308784
"Augusta Twp","Angela Knights",7353,0,1778,3130,1,1,26,0,0,0,0,4422,NA,5,5,4,1,7353,0.241806065551476,0,0,0.67999456004352,0.543995648034816,0.135998912008704,-0.236785156647013,-0.119350542858156,-0.298324730792908,-0.268219208354194,-0.201416845198546,5,-0.224819296770163
"Aundeck-Omni-Kaning FN","Mandy McGraw",368,0,14,NA,1,1,20,0,0,0,0,NA,4,0,4,7,3,368,0.0380434782608696,0,0,10.8695652173913,19.0217391304348,8.15217391304348,-0.236785156647013,-0.119350542858156,0.610762165660119,3.06723529326521,1.97761098958989,5,1.05989454980201
"Aurora","Bruce Gorman",62900,0,25923,21100,1,1,36,4,1,0,0,44000,27,5,27,8,0,62900,0.412130365659777,0.0635930047694754,0.0158982511923688,0.429252782193959,0.127186009538951,0,0.0897854169472127,-0.113528394335099,-0.320695257707307,-0.343458351400184,-0.23838527649273,5,-0.185256372597622
"Bancroft Town","Kimberly McMunn",3881,1468,1439,3409,1,1,25,0,0,0,0,2500,3,2,3,0,0,5349,0.269022247149,0,0,0.560852495793606,0,0,-0.236785156647013,-0.119350542858156,-0.30895427477157,-0.366416952836759,-0.23838527649273,5,-0.253978440721246
"Barrie","Lauren Jessop",149964,21035,28557,66191,2,2,137,3,3,39,50,56200,68,7,61,6,0,170999,0.167000976613898,0.0175439622453932,0.0175439622453932,0.356727232322996,0.0350879244907865,0,-0.146691256628255,-0.112925713319382,-0.327165797955065,-0.360083161277917,-0.23838527649273,5,-0.23705024113467
"Beausoleil First Nation Public Library","Kathleen Peters",649,0,200,NA,1,1,35,1,6,0,0,NA,8,0,8,6,4,649,0.308166409861325,1.54083204930663,9.24499229583975,12.326656394453,9.24499229583975,6.1633281972265,7.67588398013142,3.26628713449383,0.740760037066891,1.3024151315553,1.43698529550193,5,2.88446631574988
"Belleville","Trevor Pross",50716,0,19735,22744,1,1,54,2,2,13,0,36000,23,3,20,14,0,50716,0.389127691458317,0.0394352866945343,0.0394352866945343,0.394352866945343,0.27604700686174,0,-0.0342722506698383,-0.104908822608127,-0.323808937047364,-0.316587154486514,-0.23838527649273,5,-0.203592488260915
"Big Grassy FN","Audrey Duval",261,0,260,NA,7,7,32.5,0,0,13,0,896,7,0,7,0,0,261,0.996168582375479,0,0,26.8199233716475,0,0,-0.236785156647013,-0.119350542858156,2.03381148533982,-0.366416952836759,-0.23838527649273,5,0.214574711301032
"Biigtigong Nishnaabeg","Glenda Michano-Nabigon",537,0,65,NA,1,1,35,0,0,0,0,340,4,0,4,3,0,537,0.121042830540037,0,0,7.4487895716946,5.58659217877095,0,-0.236785156647013,-0.119350542858156,0.305569491720906,0.642029995739078,-0.23838527649273,5,0.070615702292417
"Billings Twp","Jillian Ferguson",731,0,200,605,1,1,9,0,0,5,0,1000,2,0,2,2,0,731,0.27359781121751,0,0,2.7359781121751,2.7359781121751,0,-0.236785156647013,-0.119350542858156,-0.114895244957018,0.127459938531435,-0.23838527649273,5,-0.116391256484697
"Bkejwanong FN","Linda Lou Classens",2369,0,2,NA,1,1,20,0,0,12,0,3600,11,0,11,0,0,2369,0.000844238075137189,0,0,4.64330941325454,0,0,-0.236785156647013,-0.119350542858156,0.0552718750634575,-0.366416952836759,-0.23838527649273,5,-0.18113321075424
"Black River-Matheson Twp","Margaret-Anne Friese",2438,0,1067,1476,2,2,37,0,1,2,0,1500,6,6,6,8,0,2438,0.437653814602133,0,0.410172272354389,2.46103363412633,3.28137817883511,0,-0.236785156647013,0.0308599338031402,-0.139425073607454,0.2259111974342,-0.23838527649273,5,-0.0715648751019715
"Blind River","Jennifer Fortin",3472,497,634,2762,1,1,44,0,1,0,0,5544,4,1,4,0,0,3969,0.159737969261779,0,0.251952632905014,1.00781053162006,0,0,-0.236785156647013,-0.0270821775015824,-0.269077845499135,-0.366416952836759,-0.23838527649273,5,-0.227549481795444
