"Nom_bibliotheque","PC1","PC2"
"Addington Highlands Twp",-0.954878517893895,1.10278587334379
"Admaston/Bromley Twp",-1.92011452375683,-1.0532223540276
"Ajax",2.05131655968577,-0.443218574073984
"Alderville FN",-2.61297161738068,1.26365495984323
"Alfred & Plantagenet Twp",0.675415315067553,-0.28195670942771
"Algonquins of Pikwakanagan FN",-2.96269712802676,-0.641523472710636
"Alnwick/Haldimand Twp",0.280886317581541,-0.446850055360302
"Armstrong Twp",-1.45532748203433,-1.42013547809713
"Arnprior",-0.164595065083235,0.190045903792595
"Asphodel-Norwood",-0.781864919906953,-0.335350798098324
"Assiginack Twp",-2.0482224919724,1.260282426798
"Athens Twp",-1.61486189089531,-1.28442649887592
"Atikokan",-1.04936387008229,1.61577450238671
"Augusta Twp",-0.937293999955424,-0.118628445731769
"Aurora",0.520741893820334,0.452204276954914
"Bancroft Town",-1.22666684366421,0.0314239339313099
"Barrie",1.91022536402852,-0.626245806179104
"Belleville",0.599405566094732,0.42067505486775
"Big Grassy FN",-1.17872414679216,2.14040586835771
"Biigtigong Nishnaabeg",-2.29673069291645,-0.816221061239707
"Billings Twp",-2.54572761977501,0.129403453511013
"Bkejwanong FN",-1.33737715125975,-7.3016156505427
"Black River-Matheson Twp",-1.03484701135556,0.802992511523946
"Blind River",-0.759575278730109,-0.559360861558111
"Bonfield",-1.87735001867589,-0.651197144334151
"Bonnechere Union",-0.989276722720581,0.298933200046492
"Bracebridge",-0.133865324124932,0.966979712151289
"Bradford West Gwillimbury Town",0.638381770675284,0.725071694890665
"Brampton",4.0920295619859,-1.0053249679346
"Brant County",2.04569856949453,1.43483678788513
"Brantford",1.74621834899081,-0.639910556018922
"Brighton Public Library Board",0.31313504640352,0.213110386387235
"Brock Twp",0.608191299347405,-0.294202063778333
"Brockville",-0.0391718974334554,-0.433394030529291
"Bruce County",3.4443823342848,0.864708206492602
"Bruce Mines & Plummer Additional Union",-1.50346083600703,-0.30206878262448
"Burk's Falls, Armour & Ryerson Union",-1.2450374080363,-0.545448880427602
"Burlington",3.19634214622221,1.32118324258941
"Caledon",2.66605967680634,-0.319257595837437
"Callander",-1.29430865597599,-0.195863759527051
"Cambridge",2.90184191986368,0.327425094317917
"Carleton Place",-0.154560920275347,-0.597000878672799
"Carlow/Mayo Public Library",-2.45075063866714,-0.156375076597751
"Cavan Monaghan Public Library Board, Township of",-0.0826898330347186,-0.96920123287044
"Central Manitoulin Twp",-1.70899450263586,2.34486885356301
"Centre Hastings",-1.08368777221602,-0.483633437317931
"Champlain Twp",-0.854847740847046,-0.660786198007393
"Chapleau Twp",-1.30768461767783,-0.815596299045124
"Chatham-Kent",3.1537858900121,0.385529413448106
"Chippewas of Georgina Island FN",-2.10086834084234,1.88177471862076
"Chippewas of Kettle & Stony Point FN",-1.86077447872588,0.0958005289491588
"Chippewas of Rama FN",-1.32348279005041,0.503085080436156
"Clarence-Rockland",0.532712916502881,0.558265140040503
"Clarington, Municipality of",2.24798293760165,0.552577984646361
"Clearview Twp",1.73787583556942,-1.08304237092844
"Cobourg",1.29924287962878,0.116507663084078
"Cochrane Public Library Board",-0.91544180845945,0.66734420606734
"Collingwood",0.297699482156668,0.23608979011883
"Cornwall",0.283143889356567,-0.558755264066036
"Deep River",-0.600100220168125,0.481513584513093
"Delaware FN",-2.91361064724543,2.48530873517722
"Deseronto",-1.15227177995917,0.222891012405151
"Douro-Dummer Twp",-1.32993193244852,-1.78222347087475
"Dryden",-0.459041150339828,-0.149246638116372
"Ear Falls Twp",-1.5714363987713,-0.430941406534775
"East Ferris",-1.06596849186723,-0.495798362754112
"East Gwillimbury",0.773210818850524,0.307447759297528
"Edwardsburgh/Cardinal Twp",-0.541541220838971,-1.27615371912479
"Elgin County",2.77537738378756,-0.25935790274092
"Elliot Lake",-0.228013134708197,-0.691602468085047
"Englehart",-1.25140366144981,0.380307485315407
"Espanola",-0.494616610231364,-0.695112182629813
"Essa",0.765310485191437,-1.14624681748783
"Essex County",3.73984000793191,-0.640278750066772
"Fort Erie",1.30319853915308,0.0245170421903358
"Fort Frances",-0.135376981202608,0.169415203700169
"French River",-0.996252151308805,-0.0160840207962476
"Front of Yonge Twp",-1.64724675684608,-1.11556251257608
"Gananoque",-1.0755252390289,0.785257047659816
"Georgian Bay Twp",-0.127567503809516,0.737182942834692
"Georgina",1.17518217827316,-0.238097995898296
"Gore Bay Union",-1.67594635441329,0.547627693194016
"Grand Valley Library Board",-0.567443365707174,-0.30578260138859
"Gravenhurst Public Library",-0.294787698635784,0.356233424243655
"Greater Madawaska Twp",-1.68030513799988,-0.25031769076306
"Greenstone",0.472969108924442,0.349423919502266
"Grey Highlands",0.580355570781112,0.434556746311578
"Grimsby",0.267495395981404,-0.302748599775241
"Guelph",2.62966877093602,0.643878931808927
"Haldimand County",2.39103736361999,0.0756299858880763
"Haliburton County",1.82579141142364,0.749745477309955
"Halton Hills",1.65236165121928,0.108041890378421
"Hamilton",5.29530004138889,0.113239889717902
"Hanover",-0.637867848411678,-0.512259877033246
"Hastings Highlands Twp",-0.906870461071311,-0.295566115673233
"Havelock-Belmont-Methuen Twp",-0.78030130690975,0.657050156837009
"Hawkesbury",-0.293036043177341,-1.05664764451694
"Head, Clara & Maria",-3.23221598939623,0.789387896541165
