"Groupe","Profil","Variable","Score_Z"
1,"Grands réseaux de bibliothèques","Population desservie",1.28
1,"Grands réseaux de bibliothèques","Nombre de succursales",1.45
1,"Grands réseaux de bibliothèques","Heures d'ouverture",1.46
1,"Grands réseaux de bibliothèques","Superficie",1.31
1,"Grands réseaux de bibliothèques","Ratio abonnés/population",-0.15
1,"Grands réseaux de bibliothèques","Indice technologique",-0.29
2,"Bibliothèques locales intermédiaires","Population desservie",-0.24
2,"Bibliothèques locales intermédiaires","Nombre de succursales",-0.42
2,"Bibliothèques locales intermédiaires","Heures d'ouverture",-0.38
2,"Bibliothèques locales intermédiaires","Superficie",-0.3
2,"Bibliothèques locales intermédiaires","Ratio abonnés/population",-0.21
2,"Bibliothèques locales intermédiaires","Indice technologique",-0.14
3,"Petites bibliothèques à forte offre technologique","Population desservie",-1.62
3,"Petites bibliothèques à forte offre technologique","Nombre de succursales",-0.49
3,"Petites bibliothèques à forte offre technologique","Heures d'ouverture",-0.83
3,"Petites bibliothèques à forte offre technologique","Superficie",-1.14
3,"Petites bibliothèques à forte offre technologique","Ratio abonnés/population",2.45
3,"Petites bibliothèques à forte offre technologique","Indice technologique",2.18
