"Nom_bibliotheque","Groupe","Population_desservie","Nb_succursales","Heures_ouverture","Superficie","Ratio_abonnes_population","Indice_ressources_technologiques","Profil"
"Addington Highlands Twp",2,1712,2,30,3534,0.540303738317757,0.00894793033562155,"Bibliothèques locales intermédiaires"
"Admaston/Bromley Twp",2,2935,1,12,1394,0.116524701873935,-0.12273935832279,"Bibliothèques locales intermédiaires"
"Ajax",1,127400,3,151.5,48000,0.182904238618524,-0.240719545518828,"Grands réseaux de bibliothèques"
"Alderville FN",3,313,1,20,500,0.60702875399361,0.600452294816093,"Petites bibliothèques à forte offre technologique"
"Alfred & Plantagenet Twp",2,9680,5,85,5595,0.180061983471074,-0.243709320377541,"Bibliothèques locales intermédiaires"
"Algonquins of Pikwakanagan FN",2,453,1,20,118,0.143487858719647,0.0520477052774922,"Bibliothèques locales intermédiaires"
"Alnwick/Haldimand Twp",2,5691,3,43,16712,0.162361623616236,-0.232413145518952,"Bibliothèques locales intermédiaires"
"Armstrong Twp",2,1961,1,27,2322,0.0810810810810811,-0.0613637415797656,"Bibliothèques locales intermédiaires"
"Arnprior",2,15973,1,40,13500,0.311024854441871,-0.250476733296922,"Bibliothèques locales intermédiaires"
"Asphodel-Norwood",2,3440,2,27,3822,0.184883720930233,0.0924216506415888,"Bibliothèques locales intermédiaires"
"Assiginack Twp",2,1013,1,19,1200,0.646594274432379,-0.174068816874227,"Bibliothèques locales intermédiaires"
"Athens Twp",2,3013,1,12,3458,0.0962495851310986,-0.192022576957793,"Bibliothèques locales intermédiaires"
"Atikokan",2,2200,1,37,5151,0.847727272727273,-0.207211297308784,"Bibliothèques locales intermédiaires"
"Augusta Twp",2,7353,1,26,4422,0.241806065551476,-0.224819296770163,"Bibliothèques locales intermédiaires"
"Aurora",2,62900,1,36,44000,0.412130365659777,-0.185256372597622,"Bibliothèques locales intermédiaires"
"Bancroft Town",2,5349,1,25,2500,0.269022247149,-0.253978440721246,"Bibliothèques locales intermédiaires"
"Barrie",1,170999,2,137,56200,0.167000976613898,-0.23705024113467,"Grands réseaux de bibliothèques"
"Belleville",2,50716,1,54,36000,0.389127691458317,-0.203592488260915,"Bibliothèques locales intermédiaires"
"Big Grassy FN",3,261,7,32.5,896,0.996168582375479,0.214574711301032,"Petites bibliothèques à forte offre technologique"
"Biigtigong Nishnaabeg",2,537,1,35,340,0.121042830540037,0.070615702292417,"Bibliothèques locales intermédiaires"
"Billings Twp",2,731,1,9,1000,0.27359781121751,-0.116391256484697,"Bibliothèques locales intermédiaires"
"Bkejwanong FN",2,2369,1,20,3600,0.000844238075137189,-0.18113321075424,"Bibliothèques locales intermédiaires"
"Black River-Matheson Twp",2,2438,2,37,1500,0.437653814602133,-0.0715648751019715,"Bibliothèques locales intermédiaires"
"Blind River",2,3969,1,44,5544,0.159737969261779,-0.227549481795444,"Bibliothèques locales intermédiaires"
"Bonfield",2,1975,1,18,1200,0.152405063291139,-0.0813926240706376,"Bibliothèques locales intermédiaires"
"Bonnechere Union",2,5339,1,31.5,3700,0.325529125304364,-0.236899178320766,"Bibliothèques locales intermédiaires"
"Bracebridge",2,16010,1,58,8700,0.562273579013117,-0.253955312695753,"Bibliothèques locales intermédiaires"
"Bradford West Gwillimbury Town",2,38559,1,63.5,40000,0.479913898182007,-0.227518796959392,"Bibliothèques locales intermédiaires"
"Brampton",1,696975,8,496,205070,0.112550665375372,-0.23066581763382,"Grands réseaux de bibliothèques"
"Brant County",1,30781,5,331,20500,0.675221727689159,-0.217838965700249,"Grands réseaux de bibliothèques"
"Brantford",1,102257,2,113.5,68000,0.161094106026971,-0.224019379120551,"Grands réseaux de bibliothèques"
"Brighton Public Library Board",2,11844,3,59,6533,0.283519081391422,-0.251933667577356,"Bibliothèques locales intermédiaires"
"Brock Twp",2,11642,3,74,11421,0.186909465727538,-0.10023500220892,"Bibliothèques locales intermédiaires"
"Brockville",2,21346,1,35,18813,0.195352759299166,-0.258970499641484,"Bibliothèques locales intermédiaires"
"Bruce County",1,61119,17,534.5,52919,0.397683208167673,-0.209034650615042,"Grands réseaux de bibliothèques"
"Bruce Mines & Plummer Additional Union",2,1810,1,23.5,2750,0.193922651933702,-0.185119798999519,"Bibliothèques locales intermédiaires"
"Burk's Falls, Armour & Ryerson Union",2,3867,1,35,1800,0.165761572278252,-0.13322471145758,"Bibliothèques locales intermédiaires"
"Burlington",1,176802,6,373,106684,0.662232327688601,-0.192455832090885,"Grands réseaux de bibliothèques"
"Caledon",1,74649,7,313.5,39207,0.17643906817238,-0.220798413731107,"Grands réseaux de bibliothèques"
"Callander",2,3863,1,46,1038,0.216153248770386,-0.189217022242817,"Bibliothèques locales intermédiaires"
